id"checkpoint_id"camper_id"checkin"checkin_date"created"updated
231"279"28155"t"2017-06-27 18:10:18.544085-05"2017-06-27 18:10:18.559344-05"2017-06-27 18:10:18.559375-05
232"288"28207"t"2017-07-15 11:00:22.172663-05"2017-07-15 11:00:22.196558-05"2017-07-15 11:00:22.196588-05
1972"499"30714"t"2018-05-28 16:21:41.447-05"2018-05-28 16:21:41.477-05"2018-05-28 16:21:41.477-05
1971"499"30881"t"2018-05-28 16:21:37.202-05"2018-05-28 16:21:37.233-05"2018-05-28 16:21:37.233-05
1970"499"30990"t"2018-05-28 16:21:35.177-05"2018-05-28 16:21:35.207-05"2018-05-28 16:21:35.207-05
1969"499"30962"t"2018-05-28 16:21:32.051-05"2018-05-28 16:21:32.085-05"2018-05-28 16:21:32.085-05
1594"478"30274"t"2018-05-18 15:01:49.24-05"2018-05-18 15:01:49.305-05"2018-05-18 15:01:49.305-05
1593"477"30274"t"2018-05-16 07:47:55.995-05"2018-05-16 07:47:56.029-05"2018-05-16 07:47:56.029-05
1592"477"30388"t"2018-05-16 07:47:03.947-05"2018-05-16 07:47:03.978-05"2018-05-16 07:47:03.978-05
1591"477"30275"t"2018-05-16 07:45:25.124-05"2018-05-16 07:45:25.155-05"2018-05-16 07:45:25.155-05
1590"477"30754"t"2018-05-16 07:43:08.138-05"2018-05-16 07:43:08.169-05"2018-05-16 07:43:08.169-05
1589"477"30524"t"2018-05-16 07:42:25.624-05"2018-05-16 07:42:25.655-05"2018-05-16 07:42:25.655-05
1588"477"30854"t"2018-05-16 07:42:23.059-05"2018-05-16 07:42:23.09-05"2018-05-16 07:42:23.09-05
1587"477"30276"t"2018-05-16 07:42:20.498-05"2018-05-16 07:42:20.528-05"2018-05-16 07:42:20.528-05
1586"477"30354"t"2018-05-16 07:40:04.82-05"2018-05-16 07:40:04.851-05"2018-05-16 07:40:04.852-05
1585"477"30440"t"2018-05-16 07:39:55.822-05"2018-05-16 07:39:55.855-05"2018-05-16 07:39:55.855-05
1584"477"30309"t"2018-05-16 07:39:53.09-05"2018-05-16 07:39:53.122-05"2018-05-16 07:39:53.122-05
2731"534"31135"t"2018-06-28 14:31:42.78-05"2018-06-28 14:31:42.818-05"2018-06-28 14:31:42.818-05
303"341"28690"t"2017-10-09 07:56:18.494918-05"2017-10-09 07:56:18.520337-05"2017-10-09 07:56:18.520378-05
304"341"28677"t"2017-10-09 07:56:22.092656-05"2017-10-09 07:56:22.121935-05"2017-10-09 07:56:22.121964-05
305"341"28535"t"2017-10-09 07:56:24.850188-05"2017-10-09 07:56:24.86712-05"2017-10-09 07:56:24.867147-05
306"341"28481"t"2017-10-09 07:56:27.441746-05"2017-10-09 07:56:27.464826-05"2017-10-09 07:56:27.464867-05
307"341"28507"t"2017-10-09 07:56:35.373339-05"2017-10-09 07:56:35.401381-05"2017-10-09 07:56:35.40141-05
308"341"28621"t"2017-10-09 07:56:48.159128-05"2017-10-09 07:56:48.177566-05"2017-10-09 07:56:48.177594-05
309"341"28482"t"2017-10-09 07:56:53.04317-05"2017-10-09 07:56:53.069942-05"2017-10-09 07:56:53.069971-05
2502"539"31172"t"2018-06-25 08:50:38.887-05"2018-06-25 08:50:38.929-05"2018-06-25 08:50:38.929-05
310"341"28584"t"2017-10-09 07:57:00.949662-05"2017-10-09 07:57:00.970704-05"2017-10-09 07:57:00.970728-05
311"341"28415"t"2017-10-09 07:57:20.159304-05"2017-10-09 07:57:05.732721-05"2017-10-09 07:57:20.17546-05
