id"maximum_capacity"created"updated"camp_id"grouping_id
372"100"2019-02-26 14:47:11.217158-06"2019-02-28 18:21:36.141072-06"20491"7
370"100"2019-02-26 14:46:52.537074-06"2019-02-28 18:21:36.145118-06"20491"6
371"100"2019-02-26 14:47:02.548328-06"2019-02-28 18:21:36.148958-06"20491"8
373"100"2019-02-26 14:47:18.717319-06"2019-02-28 18:21:36.152884-06"20491"9
374"14"2019-03-11 12:12:13.471412-06"2019-03-11 12:12:13.471443-06"20523"149
375"14"2019-03-11 12:12:42.390547-06"2019-03-11 12:12:42.39058-06"20523"151
376"15"2019-03-11 12:15:40.395148-06"2019-03-11 12:15:40.39519-06"20523"150
377"35"2019-03-11 15:40:05.896231-06"2019-03-11 15:40:05.896276-06"20541"1
378"35"2019-03-11 15:40:19.26361-06"2019-03-11 15:40:19.263651-06"20541"2
379"15"2019-03-11 15:42:53.268381-06"2019-03-11 15:42:53.268413-06"20541"7
380"15"2019-03-11 15:43:15.270686-06"2019-03-11 15:43:15.270717-06"20541"6
381"15"2019-03-11 15:43:31.154548-06"2019-03-11 15:43:31.154577-06"20541"8
382"15"2019-03-11 15:43:52.763781-06"2019-03-11 15:43:52.76383-06"20541"9
383"50"2019-03-22 13:51:39.423103-06"2019-03-22 13:51:39.423134-06"20524"7
384"50"2019-03-22 13:51:57.925588-06"2019-03-22 13:51:57.925617-06"20524"6
